dia,peatones,bicycle,autos,bus,motorcycle,avg_vel_car,avg_vel_bus,avg_vel_motorcycle,dia_semana
18/06/2021,2640,541,69845,1439,2047,70,56,51,Friday
19/06/2021,2980,913,63577,1434,3240,71,55,49,Saturday
20/06/2021,2760,1238,36558,664,2366,66,51,47,Sunday
21/06/2021,3765,547,111539,2307,2757,70,56,46,Monday
22/06/2021,2770,205,82595,1728,1284,68,54,46,Tuesday
23/06/2021,2770,205,82595,1728,1284,68,54,46,Wednesday
24/06/2021,2915,787,74411,1571,1992,72,58,47,Thursday
25/06/2021,2984,684,83926,1752,2881,72,57,51,Friday
26/06/2021,3399,1148,71877,1821,3320,70,56,50,Saturday
27/06/2021,2994,1518,43010,857,2941,64,51,44,Sunday
28/06/2021,2991,396,70511,1615,1652,73,59,48,Monday
29/06/2021,3282,636,77175,1836,1718,71,58,50,Tuesday
30/06/2021,4797,700,134782,2826,2686,68,56,48,Wednesday
01/07/2021,3061,504,89905,1899,2084,68,55,46,Thursday
02/07/2021,3326,636,86709,1718,2537,71,59,52,Friday
03/07/2021,2804,754,61084,1287,2721,71,56,48,Saturday
04/07/2021,2103,1419,36283,832,2475,65,52,45,Sunday
05/07/2021,3211,521,69881,1596,1480,72,58,48,Monday
06/07/2021,3001,438,77962,1852,1470,70,57,46,Tuesday
07/07/2021,2559,304,79168,1763,1674,70,60,48,Wednesday
08/07/2021,3001,636,70033,1515,1833,72,58,47,Thursday
09/07/2021,3176,510,73981,1704,2377,73,59,51,Friday
10/07/2021,3352,1039,70563,1964,2676,66,54,47,Saturday
11/07/2021,3347,1662,37136,885,2525,62,51,46,Sunday
12/07/2021,4126,446,85098,2128,2279,71,59,49,Monday
13/07/2021,2986,535,68902,1572,1814,72,60,50,Tuesday
14/07/2021,2990,619,74474,1770,2059,73,58,48,Wednesday
15/07/2021,3162,728,69104,1645,2008,71,58,47,Thursday
16/07/2021,3449,551,77672,1791,2916,71,59,49,Friday
17/07/2021,3155,947,57745,1722,3069,70,55,51,Saturday
18/07/2021,3385,1580,31100,843,2130,63,51,46,Sunday